Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre01.g000050_4532,0.41,0.51,0.15,0.3,0.55,0.77,2.69,1.04,1.54
Cre01.g000100_4532,0.85,0.95,0.69,0.48,0.14,0.4,1.97,3.06,1.64
Cre01.g000150_4532,6.27,7.06,1.71,66.07,0.35,0.57,87.33,1.96,8.15
Cre01.g000200_4532,0.25,0.22,0.16,1.53,1.09,1.78,3.7,1.3,1.82
Cre01.g000250_4532,5.87,6.14,6.05,9.14,4.64,5.89,7.11,5.55,5.4
Cre01.g000300_4532,2.58,3.7,2.57,35.99,16.37,18.58,5.57,1.89,4.51
Cre01.g000350_4532,63.29,53.76,142.54,126.51,57.74,72.15,102.94,74.88,102.12
Cre01.g000400_4532,0.6,0.95,0.22,1.81,3.5,4.08,3.56,3.15,4.8
Cre01.g000450_4532,3.3,3.74,1.37,6.96,8.02,6.78,5.46,5.97,6.94
Cre01.g000500_4532,3.22,3.74,2.06,2.04,0.64,1.15,3.62,1.32,2.2
Cre01.g000550_4532,0,0.04,0,0.18,0.16,0.09,0.32,0.13,0.24
Cre01.g000600_4532,1.23,1.07,0.55,1.61,1.8,2.08,6.11,0.19,1.25
Cre01.g000650_4532,0.12,0.45,0.06,2.07,0.39,0.56,0.28,2.92,2.57
Cre01.g000700_4532,0.54,0.47,0.36,0.8,0.44,0.5,1.25,0.84,1.4
Cre01.g000750_4532,0.93,1.47,0.66,4.63,4.74,4.73,3.49,1.74,2.86
Cre01.g000800_4532,4.68,4.21,3.67,3.99,1.88,2.77,5.67,4.09,6.71
Cre01.g000850_4532,29.46,27.45,28.11,42.72,18.62,25.69,59.06,15.28,27.85
Cre01.g000900_4532,9.47,11.84,19.92,12.5,11.09,12.06,16.74,13.77,16.18
Cre01.g000950_4532,0,0,0,0.29,0.07,0.02,0.17,0.21,0.31
Cre01.g001000_4532,0,0,0,0.11,0.08,0.05,0.08,0.08,0.08
Cre01.g001100_4532,7.34,8.99,9.34,24.49,68.12,65.72,29.88,27.14,30.59
Cre01.g001150_4532,0.49,0.73,0.82,0.8,0.51,0.86,1.45,2.06,1.5
Cre01.g001200_4532,9.59,12.91,4.77,13.06,14.39,9.17,1.53,1.83,4.15
Cre01.g001250_4532,0.36,0.3,1.14,0.07,0,0.05,0.05,0.07,0.04
Cre01.g001300_4532,0.06,0.13,0.13,0.04,0.01,0.01,0.06,0.04,0.05
Cre01.g001350_4532,0.12,0.15,0.28,0.21,0.19,0.27,0.63,0.9,0.83
Cre01.g001400_4532,0.08,0.11,0.1,24.23,19.52,19.06,4.46,4.4,4.88
Cre01.g001450_4532,0.19,0.22,0.13,1.59,0.7,0.72,2.69,0.42,1.34
Cre01.g001501_4532,0.09,0.08,0.05,0.23,0,0.07,0.99,0.05,0.19
Cre01.g001550_4532,8.2,7.7,5.4,35.06,16.5,15,40.64,7.92,14.95
Cre01.g001600_4532,1.79,2.08,2.41,2.29,2.4,2.93,0.79,5.67,5.7
Cre01.g001650_4532,0.08,0.13,0.08,0.67,0.28,0.32,0.87,0.21,0.43
Cre01.g001657_4532,0.25,0.49,0.22,2.68,2.55,1.95,1.99,0.94,1.33
Cre01.g001664_4532,0.23,0.15,1.03,0.73,0.66,0.81,1.43,1.44,1.34
Cre01.g001678_4532,0.31,0.39,1.78,0.62,0.24,0.58,0.67,2.02,0.81
Cre01.g001700_4532,0.39,0.43,2.68,0.86,0.16,0.66,0.87,2.24,0.91
Cre01.g001750_4532,9.89,8.08,4.25,13.69,5.35,8.27,65.28,1.84,6.1
Cre01.g001800_4532,0.59,0.68,0.68,3.63,2.08,3.73,5.21,2.32,2.52
Cre01.g001950_4532,2.4,2.37,1.35,12.81,11.07,9.58,5.43,2.15,4.25
Cre01.g001983_4532,31.12,34.36,51.12,316.67,271.77,259.86,47.13,38.39,68.55
Cre01.g002050_4532,1.71,1.52,2.26,14.32,10.26,9.67,1.02,1.63,2.28
Cre01.g002100_4532,1.36,1.84,0.75,7.22,13.29,10.42,2.84,2.23,3.59
Cre01.g002150_4532,0.05,0.07,0,0.34,0.35,0.2,0.36,0.21,0.14
Cre01.g002200_4532,0,0,0.98,0,0,0,0,0,0
Cre01.g002201_4532,0.02,0.05,0.02,0.02,0,0.03,0.6,0.14,0.14
Cre01.g002227_4532,1.64,1.64,1.18,1.37,0.91,1.59,3.03,1.27,1.44
Cre01.g002250_4532,0.35,0.47,1.49,0.95,0.14,0.3,3.7,2.34,1.95
Cre01.g002300_4532,172.41,152.15,223.68,603.39,1920.81,1315.37,451.64,435.11,519.32
Cre01.g002350_4532,1.8,1.84,2.31,2.99,9.36,6.3,3.12,4.84,5.85
Cre01.g002400_4532,1.49,1.14,5.43,1.87,1.28,1.38,1.12,3.14,2.65
Cre01.g002500_4532,84.14,51.26,330.58,22.74,10.2,26.68,45.11,98.78,58.69
Cre01.g002550_4532,0.4,0.82,1.33,0.61,0.37,0.81,1.44,1.53,0.88
Cre01.g002600_4532,0.03,0.12,0.06,0.1,0,0.26,0.29,0.09,0.19
Cre01.g002700_4532,0.43,0.57,0.39,0.72,0.42,0.77,0.56,1.57,1.3
Cre01.g002750_4532,0.37,0.96,0.49,0.64,0.45,0.5,1.05,0.6,1.51
Cre01.g002787_4532,0.07,0.08,1.47,0.1,0.03,0.06,0.1,0.39,0.12
Cre01.g002900_4532,0.56,0.28,1.16,0.3,0,0,10.12,2.76,2.87
Cre01.g002950_4532,1.3,1.61,1.13,3.08,3.14,2.75,3.14,1.75,2.47
Cre01.g003000_4532,0.19,0.14,0.13,0.15,0.28,0.41,0.25,0.44,0.54
Cre01.g003050_4532,0.18,0.17,0.11,1.83,0.65,0.87,0.86,0.49,0.67
Cre01.g003100_4532,0,0,0.02,0.22,0.02,0.05,0,0.03,0
Cre01.g003150_4532,1.42,1.48,1.22,2.93,2.68,2.57,4.97,2.06,2.32
Cre01.g003200_4532,5.55,6.04,2.94,2.73,0.83,1.39,5.59,2.37,4.79
Cre01.g003300_4532,0,0,0,0,0,0,0.03,0,0
Cre01.g003376_4532,1.41,0.86,1.68,0.89,2.13,2.73,9.74,0.87,2.42
Cre01.g003450_4532,1.65,2.03,1.3,3.53,2.8,2.51,3.94,3.32,3.62
Cre01.g003463_4532,0.25,0.48,0.63,2.25,3.18,2.87,1.35,3.07,3.14
Cre01.g003475_4532,0.31,0.51,0.12,0.03,0,0,0,0.12,0.08
Cre01.g003487_4532,0.93,0.6,0.89,1.33,1.98,1.61,1.61,1.67,1.7
Cre01.g003500_4532,0.41,0.68,0.65,0.36,0.35,0.61,0.23,1.89,1.42
Cre01.g003516_4532,0.71,0.84,0.93,0.86,0.09,0.32,1.53,1.08,0.91
Cre01.g003524_4532,1.2,1.28,0.93,7.25,10.75,7.84,8.19,2.91,3.76
Cre01.g003550_4532,11.6,13.7,9.82,18.1,10.76,10.35,28.94,14.49,20.49
Cre01.g003650_4532,1.13,2.22,1.2,5.79,6.7,4.61,3.1,1.7,2.64
Cre01.g003700_4532,0.21,0.3,0.25,0.33,0.36,0.28,0.51,0.71,0.75
Cre01.g003751_4532,0.32,0.31,0.4,0.17,0.07,0.18,0.48,0.76,0.37
Cre01.g003800_4532,0.84,1.34,1.08,6.63,9.59,6.87,5.98,4.93,4.52
Cre01.g003850_4532,10.92,15.75,8.7,15.23,12.19,10.12,17.3,20.45,29.36
Cre01.g003950_4532,9.36,11.36,16.04,21.9,11.98,16.61,8.9,36.53,37.12
Cre01.g004000_4532,1.76,1.03,2.68,7.14,3.79,4.51,5.22,8.84,9.82
Cre01.g004124_4532,0.65,0.65,0.49,2.75,2.05,1.45,2.32,1.04,1.02
Cre01.g004157_4532,0.84,1.55,0.78,0.55,0.43,0.35,0.19,1.6,1.64
Cre01.g004200_4532,0.61,1.1,0.58,1.94,2.06,2.46,3.04,1.65,2.25
Cre01.g004250_4532,4.92,3.8,10.25,8.16,6.05,10.45,23.08,18.15,16.77
Cre01.g004300_4532,26.3,17.44,21.3,27.06,17.2,23.06,91.76,6.08,15
Cre01.g004350_4532,2.13,3.24,2.63,28.65,25.43,23.24,1.59,3.16,4.74
Cre01.g004400_4532,1.23,0.95,0.79,1.2,0.3,0.6,4.42,2.25,2.34
Cre01.g004450_4532,39.93,32.23,45.32,31.85,12.11,16.56,30.43,10.04,17.78
Cre01.g004500_4532,106.24,112.23,163.86,100.97,94.15,93.77,126.94,103.39,91.31
Cre01.g004550_4532,1.42,1.66,2.21,6.4,8.09,8.2,9.17,5.13,5.82
Cre01.g004600_4532,0.52,0.85,0.62,37,40.69,36.53,16.27,24.11,23.21
Cre01.g004651_4532,1.6,1.53,0.54,4.69,4.79,5.89,4.3,3.01,5.05
Cre01.g004700_4532,3.16,2.78,1.32,1.18,3.6,3.1,3.5,7.47,8.33
Cre01.g004750_4532,0.03,0.4,0.05,0.07,0,0.11,0.93,0.02,0.03
Cre01.g004800_4532,32.3,37.84,16.23,31.44,45.8,40.55,6.24,3.59,10.64
Cre01.g004850_4532,0.14,0.09,0.1,0.33,0.05,0.09,0.12,0.2,0.23
Cre01.g004900_4532,6.54,11.45,4.54,244.8,23.91,38.39,18.42,3.07,6.55
Cre01.g004950_4532,14.19,15.95,8.72,18.33,24.39,23.05,12.88,14.69,17.23
Cre01.g005001_4532,3.83,3.82,2.54,4.28,4.5,3.79,3.22,3.75,4.44
Cre01.g005050_4532,35.8,36.58,20.49,98.24,185.82,156.17,100.6,55.77,89.65
Cre01.g005100_4532,5.29,5.25,3,2.44,2.45,2.82,4.98,2.9,4.42
Cre01.g005150_4532,36.17,38.84,56.59,107.76,73.4,63.78,20.04,50.94,69.14
Cre01.g005200_4532,2.11,3.87,0.75,2.43,0.88,2.08,7.32,3.17,7.08
Cre01.g005400_4532,0.25,0.58,0.12,0.57,0.34,0.7,1.32,0.16,1.21
Cre01.g005450_4532,14.04,15.91,17.37,45.34,51.05,53.62,56.63,27.61,41.83
Cre01.g005500_4532,1.56,1.36,1.75,2.18,2.6,2.41,1.23,2.83,2.92
Cre01.g005543_4532,0,0,0,0,0,0,0.63,0,0
Cre01.g005550_4532,0.39,0.23,2.17,2.64,0.26,1.35,4.52,4.61,4.91
Cre01.g005600_4532,0.37,0.56,1.16,3.55,1.4,1.57,3.86,2.4,3.07
Cre01.g005651_4532,0,0,0,0,0,0,0.25,0,0
Cre01.g005701_4532,0.08,0.04,0,1.93,1.55,1.68,0.72,0.41,0.43
Cre01.g005750_4532,0.07,0.05,0,0.19,1.1,0.86,0.38,0.8,0.84
Cre01.g005813_4532,0.48,0.98,0.36,2.18,1.85,1.98,3.02,0.56,2.15
Cre01.g005850_4532,1.75,1.4,1.19,13.92,22.79,25.81,29.75,1.23,8.28
Cre01.g005900_4532,2.16,4.35,1.84,3.27,2.53,2.06,3.17,5.6,6.92
Cre01.g005950_4532,0.83,5.28,3.08,24.99,6.31,8.04,21.36,12.4,13.26
Cre01.g006000_4532,0.15,0.16,0.18,0.78,0.17,0.18,0.08,1.96,0.9
Cre01.g006050_4532,5.28,7.78,2.63,7.04,5.84,6.62,5.92,4.51,8.96
Cre01.g006100_4532,2.55,2.22,2.08,4.62,0.48,1.53,9.4,0.94,2.48
Cre01.g006150_4532,7.8,6.68,6.23,20.15,4.96,7.82,21.79,6.09,10.96
Cre01.g006800_4532,1.32,2.08,1.53,3.06,3.76,2.66,3.7,1.93,3.58
Cre01.g006850_4532,0.85,1,3.37,2.1,0.76,2.53,1.91,2.24,0.87
Cre01.g006900_4532,0.69,1.19,0.57,1.95,0.67,0.89,2.58,1.33,2.12
Cre01.g006950_4532,613.88,656.93,740.86,273.93,473.65,428.55,298.3,853.54,539.94
Cre01.g007000_4532,3.95,4.01,3.32,7.05,5.24,4.54,5.29,3.05,5.09
Cre01.g007050_4532,15.33,16.36,13.05,25.64,23.1,19.78,15.21,12.3,18.04
Cre01.g007051_4532,11458.71,13580.97,10124.13,9535.55,8931.84,8871.82,9405.1,7463.6,9193.85
Cre01.g007100_4532,0.65,0.89,0.46,0.69,0.94,0.9,1.31,1.27,1.25
Cre01.g007150_4532,1.74,1.85,1.17,6.75,8.4,7.51,3.25,5.13,6.34
Cre01.g007200_4532,1.75,1.96,1.43,7.46,10.85,8.22,6.01,3.16,3.91
Cre01.g007251_4532,0,0,0,0.01,0,0.01,0,0.01,0
Cre01.g007300_4532,1.7,1.7,1.25,3.85,2.91,3.64,3.08,2.22,2.59
Cre01.g007350_4532,0,0.07,0.19,3.43,5.26,2.27,4.11,0.99,1.31
Cre01.g007400_4532,0.23,0.26,0.02,1.13,0.33,0.24,0.12,1.01,1.21
Cre01.g007450_4532,0.06,0,0.03,0,0.07,0.03,0,0.03,0
Cre01.g007500_4532,1.17,1.39,0.98,2.06,0.62,0.69,0.32,0.44,0.78
Cre01.g007550_4532,0.81,1.22,0.8,1.24,0.89,0.67,0.79,1,1.26
Cre01.g007600_4532,9.83,10.07,12.14,10.49,24.09,18.87,2.7,18.13,19.95
Cre01.g007651_4532,0.3,0.57,0.07,0.15,1.05,0.68,1.8,0.14,0.49
Cre01.g007700_4532,6.58,5.24,9.27,8.71,9.82,10.26,3.52,13.82,12.68
Cre01.g007737_4532,0.85,1.4,1.66,7.09,5.29,5.05,0.73,4.44,4.36
Cre01.g007774_4532,0.56,0.69,3.27,2,1.13,2,1.68,4.95,3.66
Cre01.g007811_4532,0,0.02,0.02,1.18,0.73,1.02,0.29,0.56,0.54
Cre01.g007850_4532,101.98,109.55,99.43,138.47,163.25,172.59,106.46,100.44,147.22
Cre01.g007901_4532,2.16,2.5,1.08,3,1.57,4.51,7.5,1.18,3.55
Cre01.g007950_4532,197.73,250.83,247.78,109.09,451.36,231.72,578.98,105.13,100.03
Cre01.g008000_4532,1.69,2.26,1.28,2.24,2.6,2.36,2.85,2.95,4.36
Cre01.g008051_4532,2.4,5.75,1.06,2.25,4.27,4.08,4.63,2.32,3.32
Cre01.g008100_4532,3.18,4.64,2.37,9.19,10.68,8.66,5.63,1.56,2.58
Cre01.g008150_4532,1.18,1.56,0.48,7.47,5.93,5.65,1.48,1.71,2.94
Cre01.g008200_4532,0.21,0.31,0.07,0.29,0.09,0.16,0.56,0.34,0.39
Cre01.g008250_4532,0.02,0,0.02,0,0,0,0,0.03,0
Cre01.g008300_4532,0.07,0.14,0,1.08,0.96,0.73,0.52,0.12,0.31
Cre01.g008350_4532,1.32,1.06,0.93,0.93,0.83,0.65,0.01,0,0.01
Cre01.g008450_4532,0,0,0,0.54,0.63,0.44,0.38,0.67,0.48
Cre01.g008500_4532,1.06,0.93,1.45,0.97,0.86,0.89,3.65,1.93,1.53
Cre01.g008550_4532,4.02,4.74,3.56,6.14,3.49,3.26,16.1,6.67,11.33
Cre01.g008600_4532,0.39,0.45,0.45,0.41,0.18,0.39,1.28,1.23,0.93
Cre01.g008650_4532,0.33,0.25,0.35,0.63,0.21,0.36,0.32,0.1,0.21
Cre01.g008700_4532,0.53,0.74,0.63,1.9,1.47,1.15,1.6,0.73,1.03
Cre01.g008750_4532,0,0,0,0.02,0,0,0.02,0,0
Cre01.g008800_4532,0.45,0.45,1.48,0.31,0.09,0.26,0.07,1.38,0.7
Cre01.g008850_4532,8.49,11.06,11.56,11.1,21.18,18.88,5.88,13.99,16.17
Cre01.g008891_4532,1.23,1.66,1.22,2.6,1.82,1.77,2.26,1.72,2.93
Cre01.g008900_4532,0,0,0,0,0,0,0,0,0
Cre01.g008950_4532,0.63,0.66,0.19,78.49,66.01,65.49,13.87,10.48,20.21
Cre01.g009000_4532,5.33,7.41,3.06,10.03,17.67,14.35,10.96,6.07,15.3
Cre01.g009050_4532,0,0,0,0,0,0,0,0.09,0
Cre01.g009101_4532,0.09,0.05,0.04,0.3,0.09,0.23,0.99,0.03,0.03
Cre01.g009150_4532,0,0.06,0.04,1.64,1.86,1.6,0.49,1.07,1.37
Cre01.g009200_4532,0.07,0.22,0.03,2.46,1.01,0.99,1.73,0.86,1.27
Cre01.g009250_4532,0.01,0.03,0.01,1.51,0.71,0.86,1.37,0.65,0.75
Cre01.g009300_4532,1.71,1.58,2.01,3.84,3.59,3.66,5.08,4.92,4.67
Cre01.g009325_4532,0,0,0.03,0.12,1.38,0.53,0.23,1.7,1.39
Cre01.g009350_4532,0.18,0.24,0.06,4.11,5.57,4.13,0.32,0.2,0.57
Cre01.g009400_4532,0.07,0.24,0.07,4.02,1.82,2.4,0.12,6.12,9.98
Cre01.g009450_4532,1.3,1.94,1.01,4.86,3.93,3.89,1.45,1.34,2.35
Cre01.g009500_4532,1.28,1.92,1.33,5.76,5.19,4.19,2.41,1.39,1.86
Cre01.g009550_4532,0.68,0.58,2.08,13.73,10.13,10.19,2.59,2.11,1.9
Cre01.g009575_4532,0.12,0.26,0.05,2.08,1.21,1.84,1.5,0.94,1.7
Cre01.g009650_4532,0.62,0.91,0.54,4.59,2.86,3.43,1,1.46,1.85
Cre01.g009700_4532,4.04,3.42,1.56,5.5,7.17,4.51,7.59,3.19,6.09
Cre01.g009731_4532,0.05,0.17,0.07,0.22,0.21,0.45,0.37,1.28,0.88
Cre01.g009765_4532,0.01,0.02,0.03,0.04,0.1,0.07,0.31,0.07,0.02
Cre01.g009800_4532,5.41,3.88,9.36,8.5,12.12,9.24,20.89,15.16,26.71
Cre01.g009850_4532,1.71,1.24,2.73,1.9,1.14,2.14,5.79,4.98,4.3
Cre01.g009900_4532,8.84,11.94,8.85,27.07,17.33,14.81,10.32,22.71,26.97
Cre01.g009950_4532,2.3,2.27,1.35,1.66,8.13,6.46,15,1.54,2.68
Cre01.g010000_4532,5.88,6.24,6.63,16.5,18.95,18.25,14.76,11.87,14.88
Cre01.g010050_4532,1.75,1.9,1.1,6.48,5.71,5.43,3.82,2.27,3.7
Cre01.g010100_4532,6.43,6.67,5.37,12.35,10.87,7.48,2.45,1.76,1.97
Cre01.g010150_4532,0.3,0.25,0.4,0.6,0.43,0.39,0.31,0.64,0.3
Cre01.g010201_4532,2.92,4.58,2.22,2.81,2.96,2.61,2.59,2.18,2.92
Cre01.g010250_4532,0.8,1.3,1.91,0.6,0.66,0.88,0.8,2.32,1.26
Cre01.g010296_4532,0,0,0,0.56,0,0,0,0,0
Cre01.g010300_4532,0.03,0,0.03,0.63,1.19,0.72,0.47,0.79,0.47
Cre01.g010350_4532,1.84,2.52,1.59,3.11,3.41,3.45,3.11,2.29,3.51
Cre01.g010400_4532,5.21,2.78,14,12.32,2.85,1.87,70.92,2.25,4.16
Cre01.g010450_4532,5.64,8.06,8.21,20.43,33,31.52,54.51,12.14,13.91
Cre01.g010500_4532,4.45,1.97,20.81,5.02,2.98,6.45,6.07,18.52,11.5
Cre01.g010550_4532,0.25,0.27,0.14,0.31,0.91,0.64,0.39,1.29,0.8
Cre01.g010650_4532,0.22,0.2,0.37,0.08,0.12,0.23,0.36,0.85,0.52
Cre01.g010700_4532,0.17,0.11,1.53,2.64,1.33,1.49,1.06,2.02,1.23
Cre01.g010750_4532,1.55,1.99,2.19,15,10.17,13.33,2.83,6.31,6.61
Cre01.g010800_4532,1.34,1.64,1.1,9.54,13.55,9.98,3.08,1.05,2.8
Cre01.g010816_4532,0,0.08,0,0.36,0.2,0.08,0.33,0.26,0.16
Cre01.g010832_4532,0,0.04,0.01,4.82,6.41,4.78,1.09,1.04,1.65
Cre01.g010848_4532,4.13,3.39,2.49,6.9,1.74,2.13,16.93,3.81,6.14
Cre01.g010864_4532,1.52,2.25,1.04,2.38,0.51,0.97,6.69,1.45,2.94
Cre01.g010880_4532,0.37,0.49,0.21,1.21,1,0.85,2.51,1.05,1.11
Cre01.g010900_4532,7699.77,7281.92,9529.46,5055.65,4260.88,4534.15,5215.67,7531.19,4564.16
Cre01.g010950_4532,0.29,0.3,0.43,0.86,0.29,0.64,0.47,0.9,0.52
Cre01.g011000_4532,5584.3,6179.15,4915.8,4350.14,4254.33,4087.58,4386.52,3361.41,3900.39
Cre01.g011100_4532,3.09,3.82,3.82,16.77,17.5,15.75,4.69,3.98,5.47
Cre01.g011150_4532,0,0,0,0,0,0,0,0,0
Cre01.g011200_4532,2.87,3.14,1.94,3.88,5.5,4.31,8.97,3.85,5.65
Cre01.g011250_4532,0,0,0,0,0,0.02,0.05,0,0.02
Cre01.g011300_4532,1.93,2.82,4.34,4.49,5.51,4.63,3.87,7.78,9.17
Cre01.g011350_4532,6.7,5.48,5.7,15.68,12.19,12.2,12.75,4.61,10.68
Cre01.g011400_4532,2.1,2.26,0.79,4.43,8.73,7.16,3.72,3.52,5.9
Cre01.g011450_4532,5.27,7.27,4.95,16.97,15.35,14.07,8.22,6.11,8.49
Cre01.g011500_4532,4.86,3.93,13.03,17.16,21.51,26.02,10.6,23.79,21.6
Cre01.g011550_4532,0.16,0.56,0.03,0.39,1.05,0.61,0.42,0.12,0.24
Cre01.g011600_4532,3.41,4.59,1.11,17.28,16.46,13.05,10.78,2.94,5.7
Cre01.g011630_4532,0.06,0.13,0.07,21.49,31.17,22.8,10.29,4.13,5.8
Cre01.g011660_4532,0.29,0.35,0.1,3.56,8.86,4.76,0.8,2.25,2.55
Cre01.g011750_4532,1.03,1.33,1.37,1.62,1.36,2.26,2.69,2.97,3.56
Cre01.g011800_4532,0.94,1.5,0.44,0.23,0.11,0.11,0.12,0.16,0.04
Cre01.g011850_4532,1.51,2.23,0.8,4.38,3.53,2.83,2.91,1.66,2.73
Cre01.g011901_4532,0.23,0.31,0.06,3.69,1.48,1.84,0.49,0.31,0.42
Cre01.g012000_4532,0.51,0.5,0,0,1.93,2.09,0.36,2.31,2.58
Cre01.g012050_4532,0.32,0.19,0.27,0.14,0.01,0.11,0,0.09,0.04
Cre01.g012100_4532,0.07,0.04,0.07,0.1,0.1,0,0,0.04,0.16
Cre01.g012126_4532,3.16,6.01,0.73,6.82,6.14,4.8,3.62,1.59,2.79
Cre01.g012150_4532,14.2,9.54,52.67,9.03,6.25,10.84,12,44.27,39.35
Cre01.g012200_4532,3.36,5.11,2.67,14.21,15.69,11.14,7.01,4.68,6.75
Cre01.g012300_4532,10.6,12.59,10.52,28.77,34.26,31.41,17.65,12.36,18.11
Cre01.g012350_4532,0.37,0.47,0.6,0.6,0.74,1.43,3.9,0.26,0.88
Cre01.g012400_4532,0.43,0.51,0.16,1.38,1.26,0.67,0.73,1.01,0.97
Cre01.g012450_4532,10.47,13.57,9,15.21,41.93,29.64,20.64,13.83,22.85
Cre01.g012500_4532,17.47,15.08,14.44,184.36,258.89,197.74,36.86,14.08,25.09
Cre01.g012550_4532,0.5,0.27,0.18,0.7,0.38,0.42,0.22,0.02,0.02
Cre01.g012600_4532,0.2,0.39,0.19,0.23,1.99,1.58,0.07,2.21,2.19
Cre01.g012650_4532,0,0,0,0,0,0,0,0.01,0.07
Cre01.g012700_4532,0.1,0.04,0.02,0.04,0.04,0,0,0,0
Cre01.g012750_4532,2.11,2.88,1.32,3.61,2.79,2.29,0.95,0.38,0.64
Cre01.g012800_4532,4.28,4.82,3.01,6.46,7.95,7.78,9.46,7.14,9.52
Cre01.g012850_4532,0.12,0.22,0.04,0.07,0.09,0.05,0,0.01,0.02
Cre01.g012900_4532,1.11,1.83,0.93,4.81,5.11,4.22,1.74,2,3.48
Cre01.g012950_4532,0.24,0.51,0.57,0.6,0.01,0.22,0.27,0.73,0.61
Cre01.g013000_4532,1.1,1.91,0.62,0.94,0.36,0.2,0.11,0.62,0.69
Cre01.g013050_4532,0.9,1.41,0.8,1.98,0.92,0.76,1.36,3.47,3.88
Cre01.g013100_4532,0.55,0.37,0.51,2.55,1.19,1.62,3.77,1.1,1.08
Cre01.g013150_4532,6.8,4.53,18.46,4.76,4.81,3.15,8.8,30.02,17.32
Cre01.g013200_4532,8.16,8.86,7.25,11.44,19.03,19.12,11.4,17.04,15.24
Cre01.g013250_4532,6.55,6.55,3.38,6.86,14.32,9.9,3.92,10.39,13
Cre01.g013300_4532,10.71,9.64,7.63,15.95,24.5,22.99,14.08,14.13,18.3
Cre01.g013350_4532,8.87,18.48,13.06,58.44,16.98,23.07,79.96,40.29,54.47
Cre01.g013400_4532,1.53,1.81,1.94,5.09,3.11,4.08,5.06,3.96,5.1
Cre01.g013450_4532,0.24,0.77,0.09,3.3,3.11,3.27,1.15,0.76,0.97
Cre01.g013500_4532,0,0.09,0,8.95,14.32,9.06,1.85,3.59,4.93
Cre01.g013550_4532,1.73,2.26,1.39,5,3.78,4.21,2.45,2.49,2.93
Cre01.g013600_4532,10.41,12.7,9.78,27.04,54.94,48.02,31.39,18.69,24.52
Cre01.g013650_4532,0.92,1.3,0.42,2.12,1.23,1.56,2.03,2.3,2.76
Cre01.g013700_4532,146.43,130.47,250.56,46.26,148.19,112.47,35.65,153.58,80.92
Cre01.g013750_4532,1.13,1.62,0.86,3.34,3.43,3.6,3.81,3.18,4.64
Cre01.g013769_4532,1.62,1.03,1.23,1.62,0.44,1.86,2.85,4.75,3.48
Cre01.g013800_4532,0.23,0.26,0.37,0.64,0.13,0.55,0.88,0.7,0.48
Cre01.g013801_4532,5.36,5.11,4.12,5.47,6.27,5.71,3.83,4.23,4.35
Cre01.g013850_4532,1.98,2.2,1.17,1.56,1.4,1.77,1.45,1.53,2.53
Cre01.g013900_4532,5.84,7.67,3.92,8.82,7.02,6.95,22.24,5.87,10.1
Cre01.g014000_4532,126.26,105.13,127.75,171.36,37.71,74.2,131.05,78.02,118.19
Cre01.g014050_4532,4.43,3.61,2.66,7.52,12.79,11.26,22.17,1.43,4.32
Cre01.g014100_4532,0.77,0.93,0.31,1.37,0.74,0.83,1.77,0.05,0.1
Cre01.g014150_4532,1.62,2.73,2.19,5.26,3.26,3.58,2.82,2.44,2.82
Cre01.g014200_4532,0.34,0.58,0.13,2.86,0.44,0.96,2.68,1.08,1.85
Cre01.g014250_4532,1.78,2.82,2.69,7.19,0.86,2.87,4.94,2.34,2.43
Cre01.g014300_4532,5.07,4.27,1.87,2.7,1.76,1.75,7.6,3.32,5.46
Cre01.g014350_4532,14.53,8.21,31.9,25.89,14.49,22.8,35.25,49.09,51.52
Cre01.g014400_4532,5.28,5.36,4.25,3.12,3.08,3.24,0.37,3.01,5.09
Cre01.g014450_4532,1.45,2.09,1.07,4.6,6.38,5.05,3.53,1.68,3.06
Cre01.g014500_4532,2.6,3.7,1.38,3.15,2.58,2.65,2.88,1.63,2.56
Cre01.g014650_4532,10.66,13.15,4.35,34.11,33.55,30.22,32.49,8.11,19.72
Cre01.g014700_4532,3.13,4.76,3.57,10.56,7.1,8.93,8.4,5.26,8.03
Cre01.g014751_4532,0,0,0,0,0,0,0,0,0
Cre01.g014800_4532,0.49,0.44,0.76,1.38,0.36,0.59,2.84,0.8,1.34
Cre01.g014850_4532,2.54,2.77,2.67,5.47,27.48,20.72,4.68,6.08,8.98
Cre01.g014900_4532,1.6,2.55,1.23,6.51,4.9,4.61,4.89,2.67,4.17
Cre01.g014950_4532,2.87,3.56,2.22,7.96,7.05,5.7,6.53,4.33,6.77
Cre01.g015000_4532,17.52,15.07,14.35,21.91,21.46,24.16,16.34,28.14,33.61
Cre01.g015050_4532,2.27,2.67,1.84,2.73,6.66,3.86,4.15,3.74,3.66
Cre01.g015103_4532,1.39,1.56,1.07,8.06,5.42,6.82,4.96,2.52,2.97
Cre01.g015150_4532,2.35,2.29,1,5.28,5.07,4.84,1.87,3.6,5.27
Cre01.g015200_4532,0.48,0.99,0.26,1.85,1.06,1.01,1.59,1.03,1.73
Cre01.g015250_4532,0.34,0.66,0.61,4.33,7.9,5.33,4.16,4.85,5.13
Cre01.g015300_4532,0.27,0.28,0.28,0.39,0.05,0.05,1.89,0.09,0.17
Cre01.g015350_4532,218.12,241.91,271.19,353.94,48.41,83.96,398.23,187.88,229.75
