Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre04.g224250_4532,3.53,3.87,3.15,10.91,15.62,14.29,15.87,6.01,9.59
Cre04.g224300_4532,0.24,0.18,0.17,0.31,0.53,0.25,0.44,0.5,0.27
Cre04.g224350_4532,0.89,1.61,0.21,0.99,1.41,0.85,1.59,1.45,2.67
Cre04.g224400_4532,1.6,2.6,0.45,2.39,5.86,3.42,1.3,3.66,3.45
Cre04.g224500_4532,3.84,5.03,1.84,12.5,10.48,7.69,3.63,2,3.41
Cre04.g224550_4532,2.71,4.23,2.2,5.28,4.55,4.27,4.95,3.42,5.46
Cre04.g224600_4532,0.83,0.78,2.26,1.45,1.35,2.04,1.56,2.13,1.67
Cre04.g224650_4532,1,1.5,0.62,7.04,5.18,5.83,9.25,2.01,4.02
Cre04.g224700_4532,0.61,0.57,0.54,2.08,1.66,1.55,6.22,0.94,1.94
Cre04.g224750_4532,21.75,19.43,16.32,76.12,75.1,68.17,44.2,24.51,37.06
Cre04.g224800_4532,0.17,0.42,0.09,21.89,11.81,16.2,1.05,1.18,1.48
Cre04.g224850_4532,0.29,0.34,0.43,0.01,0.03,0,0.03,0.03,0
Cre04.g224867_4532,8.96,6.9,18.16,18.84,17.05,21.03,42.09,42.4,54.62
Cre04.g224883_4532,1.17,1.13,0.44,0,0,0,0.07,0,0
Cre04.g224899_4532,0,0,0,0,0,0,0,0,0.67
Cre04.g225000_4532,0.98,1.02,0.49,1.11,0.26,0.65,3.98,1.02,1.3
Cre04.g225050_4532,6.6,6.08,6.42,28.97,25.06,20.22,16.1,5.19,5.64
Cre04.g225100_4532,0.05,0.02,0,0.02,0.02,0,0.02,0.02,0.03
Cre04.g225150_4532,0.24,0.36,0.11,2.89,4.35,2.91,0.95,0.49,1.16
Cre04.g225200_4532,2.34,5.15,2.33,7.17,4.49,3.96,5.89,2.82,5.34
Cre04.g225250_4532,4.4,6.2,2.24,12.77,12.58,9.65,5.69,4.17,7.42
Cre04.g225301_4532,0.01,0.04,0.01,0.14,0.13,0.15,0.05,0.36,0.18
Cre04.g225350_4532,9.7,9.74,7.98,22.57,48.24,45.07,16.9,17.87,26.97
Cre04.g225400_4532,10.42,9.41,12,16.12,40.16,27.73,7.45,4.27,7.09
Cre04.g225450_4532,0.33,0.88,0.51,1.3,0.34,0.7,1.46,0.97,1.29
Cre04.g225500_4532,1.4,2.03,0.8,3.84,4.78,4.29,3.28,1.62,2.31
Cre04.g225600_4532,9.44,8.51,4.73,25.04,38.52,27.35,8.1,5.69,13.07
Cre04.g225650_4532,63.3,65.97,44.56,240.57,218.2,236.61,162.96,123.32,214.63
Cre04.g225700_4532,3.32,4.2,4.32,7.11,9.3,7.06,6.03,4.03,5.75
Cre04.g225750_4532,0.1,0.12,0.11,0.54,0.24,0.31,2.27,0.22,0.51
Cre04.g225800_4532,0.26,0.22,0.07,0.16,0.1,0.22,0.16,0.07,0.12
Cre04.g225850_4532,6.74,7.8,3.86,29.72,34.83,30.06,12.54,6.36,11.56
Cre04.g225900_4532,6.9,5.6,6.58,81.06,82.83,74.7,9.57,12.96,14.91
Cre04.g225950_4532,3.44,4.01,1.61,11.83,16.89,13.77,8.76,6.14,9.94
